recipe_id,recipe_title,style,style_group,year,malt_name,malt_name_normalized,amount_lb,color_L,malt_type,pct_of_grist
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,80*L crystal malt,80*L crystal,0.5,80.0,crystal,2.2725414435501974
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,Special B malt,Special B,0.25,,specialty,1.1362707217750987
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,dextrin malt,dextrin,0.25,,specialty,1.1362707217750987
28,Baltic Bliss,PORTER,PORTER,2021.0,Muntons Maris Otter,Muntons Maris Otter,8.5,,base,44.01294498381877
28,Baltic Bliss,PORTER,PORTER,2021.0,Weyermann Munich Type I,Weyermann Munich Type I,2.75,,base,14.239482200647249
28,Baltic Bliss,PORTER,PORTER,2021.0,Weyermann Munich Type II,Weyermann Munich Type II,2.75,,base,14.239482200647249
28,Baltic Bliss,PORTER,PORTER,2021.0,Weyermann Pale Wheat,Weyermann Pale Wheat,1.5,,base,7.766990291262135
28,Baltic Bliss,PORTER,PORTER,2021.0,Crisp Amber Malt,Crisp Amber,1.0,,specialty,5.177993527508091
28,Baltic Bliss,PORTER,PORTER,2021.0,Dingeman\u2019s Special B,Dingeman\u2019s Special B,1.0,,specialty,5.177993527508091
28,Baltic Bliss,PORTER,PORTER,2021.0,Briess Crystal 60,Briess Crystal 60,0.875,,crystal,4.53074433656958
28,Baltic Bliss,PORTER,PORTER,2021.0,Weyermann Chocolate Rye,Weyermann Chocolate Rye,0.75,,roast,3.8834951456310676
28,Baltic Bliss,PORTER,PORTER,2021.0,Weyermann Carafa II Special,Weyermann Carafa II Special,0.1875,,crystal,0.9708737864077669
29,Easy Peasy American Lager,PALE LAGER,LAGER,2021.0,William\u2019s Brewing American Lager LME,William\u2019s Brewing American Lager LME,2.5,,base,100.0
30,Full Stop Stout,IRISH STOUT,STOUT,2021.0,Maris Otter pale malt,Maris Otter pale,6.5,,base,57.773158560763804
30,Full Stop Stout,IRISH STOUT,STOUT,2021.0,flaked barley,flaked barley,2.0,,adjunct,17.776356480235016
