recipe_id,recipe_title,style,style_group,year,hop_name,hop_name_normalized,amount_oz,alpha_acid_pct,usage,time_min,hop_type,batch_size_gal,oz_per_gal,biotransformation
737,Mmm Quad,BELGIAN ALE,BELGIAN,2018.0,Wyeast nutrient,Wyeast nutrient,1.0,,boil,15.0,flavor,10.0,0.1,
737,Mmm Quad,BELGIAN ALE,BELGIAN,2018.0,Irish Moss,Irish Moss,1.0,,boil,15.0,flavor,10.0,0.1,
738,Miss Mo’s Chocolate Raspberry Milk Stout,SPICE & HERB BEER,OTHER,2018.0,Northern Brewer,Northern Brewer,1.5,8.5,boil,60.0,bittering,5.0,0.3,
738,Miss Mo’s Chocolate Raspberry Milk Stout,SPICE & HERB BEER,OTHER,2018.0,East Kent Goldings,East Kent Goldings,1.0,5.0,whirlpool,,aroma,5.0,0.2,
739,Ass Kicking Cream Ale (Tequila-aged Lime/Jalapeno Ale),FRUIT BEER,OTHER,2018.0,Pacific Jade,Pacific Jade,0.5,15.6,boil,45.0,bittering,6.0,0.08333333333333333,
740,Wooden Bridge Barrel-aged Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Northern Brewer,Northern Brewer,1.9,,boil,60.0,bittering,5.0,0.38,
740,Wooden Bridge Barrel-aged Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Northern Brewer,Northern Brewer,0.63,,boil,30.0,flavor,5.0,0.126,
740,Wooden Bridge Barrel-aged Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Fuggles,Fuggles,1.25,,boil,15.0,flavor,5.0,0.25,
740,Wooden Bridge Barrel-aged Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Fuggles,Fuggles,0.63,,boil,5.0,flavor,5.0,0.126,
741,Dregs Of The Loon Wild Ale,WILD ALE,OTHER,2018.0,German Hallertau,German Hallertau,0.25,2.5,FWH,0.0,fwh,5.0,0.05,
741,Dregs Of The Loon Wild Ale,WILD ALE,OTHER,2018.0,German Hallertau,German Hallertau,0.25,2.5,boil,15.0,flavor,5.0,0.05,
742,Mike’s Rye Weizenbock,BOCK,LAGER,2018.0,Horizon,Horizon,1.0,10.1,boil,90.0,bittering,19.0,0.05263157894736842,
742,Mike’s Rye Weizenbock,BOCK,LAGER,2018.0,Tettnanger,Tettnanger,2.0,3.7,boil,90.0,bittering,19.0,0.10526315789473684,
742,Mike’s Rye Weizenbock,BOCK,LAGER,2018.0,Pekko,Pekko,0.5,15.6,boil,90.0,bittering,19.0,0.02631578947368421,
742,Mike’s Rye Weizenbock,BOCK,LAGER,2018.0,Saaz,Saaz,1.0,3.0,boil,15.0,flavor,19.0,0.05263157894736842,
743,Daniel’s American IPA,AMERICAN IPA,IPA,2018.0,Centennial,Centennial,1.0,7.8,boil,5.0,flavor,5.5,0.18181818181818182,
743,Daniel’s American IPA,AMERICAN IPA,IPA,2018.0,Simcoe,Simcoe,1.0,13.6,boil,0.0,other,5.5,0.18181818181818182,
